r           d           f
37.00      0.0036     -4.33631609
16.78      0.0025     -3.31095953
17.94      0.0009     -3.38904544
39.52      0.0036     -4.43147067
38.64      0.0036     -4.39860039
16.12      0.0025     -3.26360368
16.16      0.0033     -3.26674617
41.41      0.0034     -4.49984710
40.44      0.0035     -4.46526996
17.76      0.0019     -3.37604681
16.67      0.0005     -3.30214772
43.43      0.0033     -4.57079644
42.40      0.0034     -4.53506418
21.18      0.0048     -3.58955022
19.30      0.0037     -3.47519145
45.58      0.0031     -4.64336993
44.49      0.0032     -4.60693176
25.68      0.0052     -3.83522892
23.33      0.0052     -3.71131250
47.84      0.0029     -4.71680915
46.70      0.0030     -4.68002193
30.78      0.0047     -4.07812118
28.17      0.0050     -3.95809936
49.00      0.0028     -4.75366246
36.24      0.0040     -4.30644246
33.48      0.0043     -4.19436891
41.91      0.0033     -4.51785353
39.06      0.0036     -4.41424593
47.72      0.0028     -4.71318389
44.80      0.0031     -4.61743005
47.84      0.0029     -4.71680915
49.00      0.0028     -4.75366246
45.58      0.0031     -4.64336993
46.70      0.0030     -4.68002193
43.43      0.0033     -4.57079644
44.49      0.0032     -4.60693176
41.41      0.0034     -4.49984710
42.40      0.0034     -4.53506418
39.52      0.0036     -4.43147067
40.44      0.0035     -4.46526996
37.80      0.0036     -4.36682328
38.64      0.0036     -4.39860039
36.26      0.0035     -4.30726676
37.00      0.0036     -4.33631609
34.93      0.0034     -4.25433705
35.56      0.0035     -4.27987247
47.72      0.0028     -4.71318389
41.91      0.0033     -4.51785353
44.80      0.0031     -4.61743005
36.24      0.0040     -4.30644246
39.06      0.0036     -4.41424593
30.78      0.0047     -4.07812118
33.48      0.0043     -4.19436891
25.68      0.0052     -3.83522892
28.17      0.0050     -3.95809936
21.18      0.0048     -3.58955022
23.33      0.0052     -3.71131250
17.76      0.0019     -3.37604681
19.30      0.0037     -3.47519145
16.12      0.0025     -3.26360368
16.67      0.0005     -3.30214772
16.78      0.0025     -3.31095953
16.16      0.0033     -3.26674617
19.52      0.0007     -3.49073830
