r           d           f
26.5723    0.0013     -4.02936428
26.5936    0.0038     -4.02818163
26.5936    0.0038     -4.02818163
26.6259    0.0063     -4.02868787
26.6259    0.0063     -4.02868787
26.6776    0.0005     -4.03422443
26.6776    0.0005     -4.03422443
26.6780    0.0058     -4.03151342
26.6780    0.0058     -4.03151342
26.7085    0.0008     -4.03588484
26.7085    0.0008     -4.03588484
26.7508    0.0009     -4.03722501
26.7508    0.0009     -4.03722501
26.7743    0.0016     -4.03808442
26.7743    0.0016     -4.03808442
26.7858    0.0067     -4.03643748
26.7858    0.0067     -4.03643748
26.8782    0.0064     -4.04111146
26.8782    0.0064     -4.04111146
26.9364    0.0003     -4.04664359
26.9364    0.0003     -4.04664359
26.9410    0.0051     -4.04478627
26.9410    0.0051     -4.04478627
27.0064    0.0023     -4.04919980
27.0064    0.0023     -4.04919980
27.0600    0.0012     -4.05335332
27.0600    0.0012     -4.05335332
27.0749    0.0021     -4.05267412
27.0749    0.0021     -4.05267412
27.1044    0.0025     -4.05391908
27.1044    0.0025     -4.05391908
27.1054    0.0054     -4.05270691
27.1054    0.0054     -4.05270691
27.1260    0.0016     -4.05536911
27.1260    0.0016     -4.05536911
27.1541    0.0069     -4.05444959
27.1541    0.0069     -4.05444959
27.2141    0.0030     -4.05908789
27.2141    0.0030     -4.05908789
27.2542    0.0007     -4.06262758
27.2542    0.0007     -4.06262758
27.2573    0.0012     -4.06195935
27.2573    0.0012     -4.06195935
27.3269    0.0002     -4.06595475
27.3269    0.0002     -4.06595475
27.3475    0.0069     -4.06388079
27.3475    0.0069     -4.06388079
27.3520    0.0070     -4.06402744
27.3520    0.0070     -4.06402744
27.4031    0.0034     -4.06810425
27.4031    0.0034     -4.06810425
27.4087    0.0043     -4.06795807
27.4087    0.0043     -4.06795807
27.4418    0.0030     -4.07014321
27.4418    0.0030     -4.07014321
27.4675    0.0008     -4.07234183
27.4675    0.0008     -4.07234183
27.5484    0.0012     -4.07712542
27.5484    0.0012     -4.07712542
27.5521    0.0010     -4.07721292
27.5521    0.0010     -4.07721292
27.6699    0.0037     -4.08083566
27.6699    0.0037     -4.08083566
27.7090    0.0063     -4.08157986
27.7090    0.0063     -4.08157986
27.7224    0.0068     -4.08201505
27.7224    0.0068     -4.08201505
27.7324    0.0055     -4.08306141
27.7324    0.0055     -4.08306141
27.7548    0.0004     -4.08636077
27.7548    0.0004     -4.08636077
27.8972    0.0008     -4.09374035
27.8972    0.0008     -4.09374035
27.9029    0.0012     -4.09415703
27.9029    0.0012     -4.09415703
27.9137    0.0006     -4.09441959
27.9137    0.0006     -4.09441959
28.0121    0.0041     -4.09710020
28.0121    0.0041     -4.09710020
28.0203    0.0058     -4.09674465
28.0203    0.0058     -4.09674465
28.0710    0.0035     -4.10013733
28.0710    0.0035     -4.10013733
28.1096    0.0053     -4.10122229
28.1096    0.0053     -4.10122229
28.1169    0.0001     -4.10381565
28.1169    0.0001     -4.10381565
28.1327    0.0061     -4.10194028
28.1327    0.0061     -4.10194028
28.1460    0.0010     -4.10480848
28.1460    0.0010     -4.10480848
28.2062    0.0016     -4.10740218
28.2062    0.0016     -4.10740218
28.2848    0.0004     -4.11164202
28.2848    0.0004     -4.11164202
28.3583    0.0066     -4.11245866
28.3583    0.0066     -4.11245866
28.3986    0.0046     -4.11519693
28.3986    0.0046     -4.11519693
28.4225    0.0056     -4.11591164
28.4225    0.0056     -4.11591164
28.4271    0.0043     -4.11667536
28.4271    0.0043     -4.11667536
28.4444    0.0063     -4.11662097
28.4444    0.0063     -4.11662097
28.4641    0.0022     -4.11933867
28.4641    0.0022     -4.11933867
28.4788    0.0066     -4.11812320
28.4788    0.0066     -4.11812320
28.5510    0.0002     -4.12447074
28.5510    0.0002     -4.12447074
28.5676    0.0011     -4.12565347
28.5676    0.0011     -4.12565347
28.5919    0.0062     -4.12362806
28.5919    0.0062     -4.12362806
28.6022    0.0009     -4.12720967
28.6022    0.0009     -4.12720967
28.6197    0.0000     -4.12764641
28.6197    0.0000     -4.12764641
28.6846    0.0008     -4.13103910
28.6846    0.0008     -4.13103910
28.7970    0.0011     -4.13642513
28.7970    0.0011     -4.13642513
28.8814    0.0040     -4.13815188
28.8814    0.0040     -4.13815188
28.9117    0.0046     -4.13930808
28.9117    0.0046     -4.13930808
28.9145    0.0028     -4.14020216
28.9145    0.0028     -4.14020216
28.9489    0.0063     -4.14025779
28.9489    0.0063     -4.14025779
29.0538    0.0004     -4.14806514
29.0538    0.0004     -4.14806514
29.1439    0.0004     -4.15225752
29.1439    0.0004     -4.15225752
29.1711    0.0056     -4.15090713
29.1711    0.0056     -4.15090713
29.3350    0.0020     -4.16002886
29.3350    0.0020     -4.16002886
29.3459    0.0017     -4.16068826
29.3459    0.0017     -4.16068826
29.3646    0.0010     -4.16269628
29.3646    0.0010     -4.16269628
29.3985    0.0024     -4.16279510
29.3985    0.0024     -4.16279510
29.4087    0.0062     -4.16158238
29.4087    0.0062     -4.16158238
29.4229    0.0053     -4.16265628
29.4229    0.0053     -4.16265628
29.4310    0.0013     -4.16476241
29.4310    0.0013     -4.16476241
29.4626    0.0047     -4.16472526
29.4626    0.0047     -4.16472526
29.4921    0.0056     -4.16568511
29.4921    0.0056     -4.16568511
29.5225    0.0060     -4.16691434
29.5225    0.0060     -4.16691434
29.5358    0.0027     -4.16895266
29.5358    0.0027     -4.16895266
29.5457    0.0048     -4.16850168
29.5457    0.0048     -4.16850168
